gender,age,school_type,distance_from_home,parental_education,family_support,internet_access,study_hours,attendance,absences,previous_grades,sleep_hours,extracurricular,tutoring,motivation_level,performance
Male,17,Public,Far,College,Medium,No,5.8,92.5,5,45.0,6.3,Yes,No,Low,Low
Male,18,Public,Moderate,College,Low,Yes,4.7,86.6,3,100.0,8.3,No,Yes,High,High
Male,18,Private,Moderate,High School,Medium,Yes,6.4,100.0,6,47.5,,No,Yes,Low,Medium
Male,17,Public,Near,College,High,No,5.2,99.6,6,70.7,6.2,No,No,High,Medium
Female,18,Public,Moderate,High School,Medium,Yes,4.0,85.3,4,41.4,7.0,Yes,No,Medium,Medium
Male,17,Private,Moderate,Postgraduate,Medium,Yes,3.9,69.9,5,38.0,8.7,No,Yes,High,Medium
Female,15,Private,Moderate,High School,Low,Yes,6.6,64.3,5,69.5,7.4,Yes,Yes,Medium,Medium
Male,16,Public,Moderate,College,Medium,Yes,3.7,75.4,9,70.6,7.7,No,Yes,High,Medium
Female,16,Public,Moderate,None,Medium,Yes,6.8,89.0,5,86.9,6.1,No,Yes,Low,Medium
Female,18,Public,Near,High School,High,Yes,7.4,100.0,9,74.0,8.2,Yes,No,Medium,Medium
Male,18,Public,Moderate,College,Medium,Yes,1.7,85.0,8,65.8,9.8,Yes,No,Low,Low
Female,18,Public,Near,Postgraduate,High,Yes,7.3,94.0,8,53.8,,No,No,High,Medium
Female,16,Public,Far,College,Medium,Yes,9.1,77.1,12,90.5,5.6,No,No,Medium,Medium
Female,15,Public,Near,Postgraduate,Low,Yes,5.5,87.5,2,81.9,7.2,Yes,Yes,Medium,Medium
Female,15,Public,Near,College,Medium,No,6.2,89.9,4,49.3,8.1,Yes,Yes,Medium,Medium
Female,16,Private,Near,College,Medium,No,7.1,56.2,13,68.6,6.9,No,No,High,Medium
Female,15,Private,Moderate,High School,High,Yes,4.4,75.0,5,70.2,,Yes,No,Medium,Medium
Male,16,Public,Near,College,High,Yes,5.4,91.4,0,62.8,6.9,Yes,Yes,Medium,Medium
Male,15,Public,Near,High School,Medium,No,2.4,83.3,5,79.6,7.7,No,Yes,High,Medium
Male,17,Public,Moderate,Postgraduate,Medium,Yes,5.3,65.6,7,80.5,6.5,Yes,Yes,High,Medium
Male,17,Private,Near,Postgraduate,Medium,Yes,6.0,50.8,0,65.1,7.7,Yes,Yes,Low,Medium
Male,16,Public,Far,Postgraduate,High,No,6.0,75.6,11,63.8,8.4,Yes,No,Low,Medium
Male,15,Public,Far,College,High,Yes,7.1,79.1,3,90.5,7.3,No,No,Low,Medium
Female,18,Public,Moderate,College,,No,3.5,69.4,7,82.0,7.0,Yes,No,Medium,Medium
Male,15,Public,Near,College,Medium,No,3.9,81.7,5,69.1,8.0,No,No,Medium,Medium
Male,17,Public,Moderate,High School,Medium,Yes,8.8,86.1,1,43.6,6.0,No,No,Medium,Medium
Female,17,Public,Near,College,Medium,Yes,4.7,88.0,2,73.2,5.9,Yes,Yes,High,High
Male,15,Public,Moderate,None,Medium,Yes,5.4,51.7,2,78.5,6.7,No,Yes,Medium,Medium
Female,15,Private,Near,College,Medium,Yes,4.9,64.2,10,30.0,6.4,Yes,No,High,Medium
Male,18,Public,Far,High School,Low,Yes,3.4,76.3,5,71.8,6.0,No,No,Medium,Medium
Female,18,Private,Near,High School,Low,Yes,8.2,86.9,4,61.7,9.2,Yes,Yes,Low,Medium
Female,15,Private,Moderate,High School,High,Yes,3.9,85.9,2,64.7,9.6,No,No,Medium,Medium
Male,15,Public,Moderate,High School,High,No,2.7,85.7,11,54.4,6.6,Yes,No,High,Medium
Male,15,Public,Moderate,College,Medium,Yes,4.1,75.4,12,65.8,7.1,Yes,No,Low,Low
Female,15,Public,Near,None,Medium,Yes,1.0,76.1,11,88.9,6.8,No,No,Medium,Low
Female,16,Public,Far,College,Medium,Yes,3.7,71.3,8,61.3,8.3,Yes,No,Low,Low
Female,15,Private,Moderate,High School,High,Yes,3.1,89.2,7,82.5,8.6,No,No,Medium,Medium
Female,18,Private,Moderate,College,High,Yes,6.2,69.0,1,55.9,4.9,Yes,Yes,Medium,Medium
Male,17,Public,Near,College,High,Yes,3.7,90.2,5,79.4,7.6,Yes,No,High,Medium
Male,16,Public,Moderate,College,High,Yes,6.8,82.5,3,68.0,5.4,No,No,High,High
Male,15,Private,Near,College,Medium,No,7.8,79.5,0,73.3,9.1,Yes,No,Medium,Medium
Female,17,Private,Near,High School,Medium,No,6.6,72.1,10,68.1,7.5,No,No,High,Medium
Female,16,Private,Near,College,Medium,Yes,4.6,63.7,3,77.6,6.0,Yes,No,Medium,Low
Male,17,Public,Far,High School,Medium,Yes,5.3,72.2,11,30.0,6.7,Yes,Yes,High,Medium
Male,15,Public,Near,College,High,Yes,2.0,76.0,10,46.7,6.7,No,Yes,Medium,Low
Male,15,Private,Near,College,Medium,Yes,4.7,51.6,8,74.3,7.6,Yes,No,High,Medium
Male,18,Private,Moderate,None,Low,Yes,3.3,77.6,8,37.3,8.3,Yes,No,High,Medium
Female,15,Public,Moderate,College,Medium,No,6.4,91.1,4,60.0,5.6,No,No,High,Medium
Female,15,Public,Near,College,High,Yes,10.1,86.8,13,67.2,9.2,Yes,No,Low,Medium
Female,16,Public,Moderate,High School,Medium,Yes,6.0,74.0,6,55.6,8.9,Yes,No,Medium,Medium
Male,18,Public,Near,None,Medium,Yes,1.0,80.6,7,57.6,5.9,No,No,High,Medium
Male,16,Public,Near,None,Medium,No,4.3,73.3,3,72.1,7.1,No,Yes,High,Medium
Female,17,Private,Near,Postgraduate,Low,No,5.2,81.8,2,83.1,9.1,Yes,No,Medium,Medium
Female,15,Public,Far,College,Medium,Yes,5.2,98.5,8,53.6,,Yes,Yes,Low,Medium
Female,17,Private,Near,High School,High,Yes,3.5,91.6,7,59.4,6.6,No,Yes,Medium,Medium
Female,16,Public,Near,High School,Medium,Yes,5.5,86.2,3,57.0,8.0,Yes,Yes,Medium,Medium
Male,15,Private,Near,College,High,Yes,2.5,74.1,0,31.7,10.0,Yes,Yes,High,Medium
Female,15,Private,Far,College,Medium,Yes,3.1,89.0,1,70.1,7.1,No,Yes,High,Medium
Male,16,Public,Near,None,Low,No,6.3,59.8,11,82.0,6.2,Yes,Yes,Low,Medium
Male,16,Public,Near,,High,Yes,3.0,77.0,4,83.2,7.2,No,Yes,High,High
Male,16,Public,Near,Postgraduate,Medium,No,6.1,87.0,5,54.9,7.3,No,Yes,Low,Medium
Male,16,Public,Near,None,Medium,Yes,2.3,88.9,12,49.2,6.4,No,No,Medium,Low
Female,16,Private,Moderate,High School,High,No,8.5,88.0,2,68.3,,No,No,Low,Medium
Male,15,Private,Moderate,Postgraduate,Medium,No,3.5,83.5,3,80.4,5.5,Yes,No,High,Medium
Male,16,Public,Near,College,High,Yes,4.6,77.7,3,70.3,6.2,Yes,No,High,Medium
Female,15,Public,Near,High School,Low,Yes,5.7,86.5,12,72.3,7.9,No,No,Medium,Medium
Male,15,Public,Near,None,Medium,Yes,3.9,68.6,14,85.1,4.9,Yes,No,Medium,Medium
Male,16,Private,Near,None,Low,No,5.3,69.9,9,56.9,8.1,No,Yes,Low,Medium
Female,16,Public,Near,High School,High,Yes,6.2,80.7,9,64.7,4.6,Yes,Yes,Medium,Medium
Male,18,Public,Moderate,Postgraduate,Medium,Yes,6.9,82.1,4,92.5,4.9,No,No,Medium,Medium
Male,15,Public,Far,High School,High,Yes,6.6,58.1,14,65.0,6.4,Yes,No,Low,Medium
Male,16,Public,Far,College,High,Yes,4.7,85.5,7,49.0,7.3,Yes,No,High,Medium
Male,16,Public,Far,Postgraduate,Medium,Yes,4.7,89.3,9,58.0,8.6,Yes,No,Medium,Medium
Female,16,Private,Moderate,High School,Medium,Yes,9.7,79.1,6,53.9,7.1,No,Yes,Medium,Medium
Female,18,Public,Moderate,High School,Medium,Yes,6.9,100.0,5,73.4,6.7,Yes,No,Low,Medium
Female,18,Public,Near,College,Medium,Yes,3.2,71.8,13,54.6,7.7,No,No,Low,Low
Female,17,Private,Moderate,Postgraduate,,No,5.2,75.7,8,72.1,6.0,Yes,No,Medium,Medium
Female,15,Private,Moderate,College,Medium,No,4.3,75.3,12,57.0,7.2,Yes,No,Medium,Medium
Male,17,Public,Moderate,None,High,Yes,4.7,79.1,7,36.1,5.6,No,Yes,Medium,Medium
Female,16,Public,Moderate,College,High,No,2.5,76.1,3,72.6,7.1,Yes,Yes,High,Medium
Female,18,Public,Near,College,High,Yes,4.2,63.1,4,70.2,6.8,Yes,Yes,Medium,Medium
Female,18,Public,Near,Postgraduate,High,Yes,8.6,73.4,6,75.8,,Yes,Yes,Medium,High
Female,17,Public,Far,High School,Medium,Yes,6.2,78.8,3,57.9,7.2,No,Yes,High,Medium
Male,18,Public,Near,College,,Yes,0.0,94.7,2,56.3,7.2,No,No,Medium,Low
Male,16,Public,Moderate,Postgraduate,High,Yes,7.4,100.0,11,74.0,8.4,Yes,No,Medium,High
Male,18,Private,Far,High School,Medium,Yes,7.2,96.0,4,90.8,5.1,Yes,No,Medium,Medium
Male,17,Public,Moderate,College,High,Yes,4.3,70.7,7,68.2,6.9,Yes,No,Low,Low
Female,16,Private,Moderate,None,Medium,No,6.4,71.7,7,74.4,6.1,No,Yes,Low,Medium
Female,17,Public,Near,High School,Medium,Yes,3.3,78.1,4,63.2,8.0,Yes,Yes,Medium,Low
Male,18,Private,Near,High School,High,Yes,4.1,100.0,12,44.8,7.9,No,No,High,Medium
Male,17,Private,Far,Postgraduate,High,No,8.0,78.0,2,82.5,7.6,Yes,Yes,High,Medium
Male,17,Private,Moderate,High School,Medium,No,4.5,64.1,7,81.6,6.2,No,No,Medium,Medium
Male,15,Private,Moderate,College,High,Yes,1.3,74.0,7,78.7,8.1,Yes,No,Medium,Medium
Male,18,Private,Near,College,Medium,Yes,4.9,89.1,6,65.3,5.2,No,Yes,Medium,Medium
Male,18,Public,Near,High School,Medium,Yes,4.8,88.3,1,77.0,,Yes,No,Medium,Medium
Female,17,Public,Far,College,High,Yes,7.4,77.6,9,81.4,5.5,Yes,Yes,Low,Medium
Male,15,Public,Near,College,Medium,Yes,5.0,88.2,9,92.3,7.0,No,No,Medium,Medium
Male,18,Private,Moderate,Postgraduate,High,Yes,4.2,52.7,3,82.8,7.8,No,Yes,Medium,Medium
Female,16,Private,Near,College,Medium,No,7.1,81.2,9,69.0,4.0,Yes,Yes,Low,Medium
Male,17,Public,Moderate,College,Medium,Yes,5.2,90.3,7,48.4,8.6,No,No,Low,Medium
Female,18,Public,Far,High School,Medium,No,3.5,70.0,1,70.3,7.2,Yes,No,Medium,Medium
Female,16,Public,Moderate,Postgraduate,Medium,No,7.3,70.0,3,71.8,5.1,Yes,No,Medium,Medium
Male,18,Private,Near,High School,Low,No,5.4,57.6,11,78.6,7.1,Yes,No,Medium,Medium
Male,16,Public,Moderate,College,High,Yes,5.0,99.1,7,88.3,8.3,Yes,No,Low,Medium
Male,17,Public,Moderate,High School,Medium,No,5.4,71.4,4,66.6,7.7,No,No,Low,Low
Male,18,Public,Near,Postgraduate,High,Yes,2.9,82.9,3,99.5,8.3,Yes,No,Medium,Medium
Male,18,Public,Far,College,Medium,Yes,3.9,87.2,4,41.6,5.4,Yes,No,Low,Low
Female,15,Private,Moderate,College,Medium,Yes,5.0,98.1,4,74.3,6.5,Yes,No,Medium,Medium
Male,17,Private,Far,High School,Medium,Yes,4.6,78.2,3,56.0,5.9,Yes,No,Low,Low
Male,16,Private,Moderate,High School,Medium,No,7.5,73.5,0,39.4,9.1,No,No,High,Medium
Male,18,Public,Near,College,Medium,No,5.4,82.1,11,65.0,7.8,No,Yes,Medium,Medium
Female,18,Public,Near,College,Medium,Yes,6.7,95.4,10,46.1,10.0,Yes,Yes,Medium,Medium
Male,16,Public,Near,High School,Medium,Yes,5.0,78.0,1,65.6,6.4,Yes,No,Low,Medium
Male,17,Private,Far,Postgraduate,Low,Yes,7.1,68.5,7,68.5,6.1,No,No,Low,Medium
Male,15,Public,Moderate,Postgraduate,Medium,Yes,5.8,61.5,2,84.8,6.8,Yes,No,Low,Medium
Female,15,Public,Moderate,High School,Low,No,5.0,65.3,5,45.4,,Yes,No,High,Medium
Male,18,Public,Near,College,Low,Yes,5.0,90.4,5,81.6,6.6,Yes,Yes,High,Medium
Female,16,Private,Near,College,High,No,3.1,76.2,4,69.5,7.1,Yes,Yes,Low,Medium
Female,18,Public,Moderate,College,Medium,Yes,6.0,72.7,14,83.4,,No,No,Medium,Medium
Male,16,Private,Moderate,High School,High,Yes,4.9,71.4,4,61.5,7.0,No,No,Medium,Medium
Female,15,Public,Near,College,Medium,Yes,4.0,81.0,3,48.0,6.2,No,No,Low,Low
Male,17,Public,Moderate,College,High,Yes,7.2,77.1,3,49.7,6.8,Yes,Yes,High,Medium
Female,16,Public,Near,High School,Medium,Yes,2.5,76.7,10,48.6,6.8,Yes,No,Low,Low
Female,15,Public,Near,College,High,No,4.2,96.2,0,75.2,7.0,No,Yes,Medium,Medium
Female,18,Public,Moderate,College,Medium,No,7.1,98.5,3,90.2,8.1,No,No,Medium,Medium
Male,16,Public,Near,College,High,Yes,5.6,60.7,12,59.5,9.1,No,No,Medium,Medium
Female,17,Public,Far,None,High,Yes,4.9,83.9,7,77.4,6.0,Yes,No,High,Medium
Male,18,Private,Near,,High,Yes,5.5,70.7,7,45.1,6.5,No,No,High,Medium
Male,18,Public,Near,College,Low,Yes,5.4,77.0,15,70.7,6.0,Yes,No,High,Medium
Male,15,Private,Near,High School,Medium,Yes,2.0,83.7,7,78.0,7.2,Yes,Yes,Medium,Medium
Female,16,Public,Moderate,,Medium,Yes,4.3,77.4,3,46.3,6.4,No,No,Low,Low
Female,18,Private,Near,,Medium,No,8.2,82.8,5,64.9,7.3,No,Yes,High,Medium
Male,17,Public,Moderate,Postgraduate,High,Yes,3.7,88.1,1,78.7,8.3,No,No,High,Medium
Male,16,Public,Near,,Low,No,4.4,83.5,11,30.0,4.0,No,No,Medium,Low
Male,17,Public,Near,College,Low,Yes,3.9,72.2,8,88.0,7.6,Yes,No,High,Medium
Female,18,Public,Near,None,Medium,No,4.8,72.4,10,73.3,6.4,Yes,Yes,Low,Low
Male,17,Public,Far,College,Low,Yes,3.8,62.7,11,78.8,7.6,No,Yes,Medium,Low
Female,15,Private,Far,Postgraduate,Medium,Yes,6.0,69.8,4,61.8,5.9,Yes,Yes,Low,Medium
Male,17,Private,Near,College,High,No,5.4,100.0,2,42.2,8.4,Yes,Yes,Medium,Medium
Female,16,Private,Moderate,High School,Medium,Yes,6.5,70.5,6,76.0,8.1,Yes,Yes,High,Medium
Male,17,Private,Far,College,Low,Yes,2.9,65.7,3,66.8,7.7,Yes,No,Medium,Low
Male,17,Public,Near,,Medium,Yes,4.3,83.8,7,68.5,,No,No,High,Medium
Male,15,Public,Far,High School,Medium,No,4.5,78.7,11,84.3,6.1,Yes,No,Medium,Low
Female,17,Public,Near,College,,No,5.9,77.7,5,79.4,6.3,Yes,Yes,Medium,Medium
Female,17,Public,Far,College,High,Yes,3.4,96.9,7,96.8,7.9,No,Yes,High,High
Male,18,Public,Moderate,High School,High,Yes,6.8,86.6,6,70.3,6.1,Yes,Yes,Low,Medium
Female,18,Public,Far,Postgraduate,High,No,7.4,73.6,9,57.6,8.7,No,Yes,High,Medium
Female,16,Public,Moderate,College,High,Yes,3.0,74.9,3,65.2,6.6,Yes,Yes,Low,Low
Female,18,Public,Near,High School,Low,Yes,4.0,74.0,0,74.2,7.6,No,Yes,Medium,Medium
Female,18,Private,Far,College,High,Yes,3.9,90.5,8,83.2,9.5,Yes,No,Medium,Medium
Male,18,Private,Near,College,High,Yes,10.3,76.3,10,46.0,6.2,Yes,No,High,High
Male,18,Public,Near,College,High,Yes,4.1,58.5,8,68.1,7.1,Yes,No,Medium,Medium
Female,15,Private,Moderate,,Low,Yes,8.4,79.4,3,92.1,8.3,Yes,No,Medium,High
Female,18,Private,Moderate,College,High,Yes,2.5,61.6,1,64.4,8.1,No,Yes,High,Medium
Female,15,Public,Far,High School,High,Yes,3.0,100.0,8,82.0,6.6,Yes,No,Medium,Medium
Male,15,Public,Near,,High,Yes,3.6,68.4,7,75.4,6.4,No,Yes,High,Medium
Male,18,Public,Moderate,College,Low,Yes,3.3,78.1,5,82.3,6.7,Yes,Yes,Medium,Medium
Female,17,Private,Moderate,High School,High,No,4.5,83.1,13,55.9,8.7,No,Yes,Low,Low
Female,15,Private,Near,College,High,Yes,3.6,76.5,2,55.9,6.7,No,Yes,Medium,Low
Female,17,Public,Near,Postgraduate,,Yes,3.4,76.5,13,68.3,7.1,Yes,No,Low,Medium
Female,17,Public,Near,Postgraduate,Medium,No,7.3,85.1,6,45.0,6.5,Yes,No,Low,Medium
Female,18,Public,Near,High School,High,Yes,7.4,98.3,0,64.0,7.8,No,No,Medium,Medium
Male,16,Public,Far,High School,Medium,Yes,6.9,89.2,5,71.8,7.2,Yes,Yes,Low,Medium
Male,18,Public,Moderate,College,Medium,Yes,6.0,97.7,10,94.8,5.8,Yes,No,Medium,Medium
Female,16,Private,Moderate,High School,Medium,No,5.2,67.4,5,74.0,5.8,No,No,Medium,Medium
Female,16,Private,Far,Postgraduate,High,No,4.0,83.8,0,77.4,4.6,No,No,Medium,Medium
Male,18,Private,Near,High School,,No,3.1,81.9,5,85.5,6.0,No,No,Medium,Medium
Male,18,Private,Far,High School,Medium,No,5.7,84.2,3,53.5,8.0,No,No,High,Medium
Female,16,Private,Near,High School,High,Yes,2.7,96.5,8,65.5,8.6,Yes,No,Low,Medium
Male,18,Public,Far,High School,,Yes,3.0,77.4,9,100.0,7.8,No,No,Medium,Medium
Male,16,Public,Near,College,Medium,Yes,7.3,75.1,2,66.8,,Yes,Yes,Medium,Medium
Female,17,Public,Far,College,High,Yes,8.8,86.4,3,84.7,6.8,Yes,Yes,Medium,Medium
Female,18,Private,Near,High School,High,Yes,5.8,58.7,9,82.5,7.9,No,No,Medium,Medium
Female,17,Public,Near,High School,Low,Yes,7.2,77.2,3,45.8,7.3,Yes,No,High,Medium
Male,15,Private,Moderate,College,Medium,Yes,4.5,78.4,2,72.7,9.2,Yes,No,High,Medium
Female,17,Public,Near,High School,Low,No,2.3,69.0,1,70.2,6.9,No,No,High,Medium
Male,17,Public,Moderate,College,Medium,Yes,6.2,92.7,7,72.9,8.6,Yes,Yes,Low,Medium
Male,16,Public,Near,College,Medium,Yes,6.1,67.3,7,56.7,8.0,Yes,No,Medium,Medium
Female,17,Public,Moderate,College,High,Yes,5.1,78.4,3,51.2,7.9,Yes,Yes,High,Medium
Female,18,Private,Near,Postgraduate,High,Yes,4.5,83.5,6,60.9,4.6,Yes,No,Medium,Medium
Female,16,Private,Near,,Low,Yes,6.9,96.2,12,66.5,8.1,No,Yes,High,High
Female,15,Public,Near,Postgraduate,Low,Yes,3.0,79.9,2,85.8,6.8,Yes,No,Medium,Medium
Female,18,Public,Moderate,High School,,Yes,3.5,91.2,0,95.3,6.5,Yes,Yes,High,High
Male,15,Public,Near,High School,Medium,No,3.0,88.4,8,88.9,5.2,Yes,No,High,Medium
Male,17,Public,Near,High School,Medium,No,5.2,81.5,6,80.9,7.0,No,No,Medium,Medium
Male,18,Public,Near,Postgraduate,High,Yes,2.8,66.9,3,52.9,7.0,No,Yes,Low,Low
Male,18,Private,Near,Postgraduate,High,Yes,3.6,62.8,9,61.9,5.4,Yes,No,Medium,Medium
Female,15,Public,Moderate,Postgraduate,Medium,Yes,3.6,81.3,9,71.1,5.2,Yes,No,High,Medium
Male,18,Public,Far,High School,High,No,4.5,73.5,0,58.5,7.6,No,Yes,High,Medium
Female,18,Public,Near,Postgraduate,Medium,Yes,2.0,91.0,3,76.7,8.0,Yes,No,Low,Low
Female,18,Public,Moderate,High School,High,Yes,5.2,89.0,15,78.8,7.2,Yes,Yes,Medium,Medium
Female,17,Public,Moderate,None,Medium,No,7.5,77.8,8,76.0,8.4,Yes,Yes,High,High
Male,15,Public,Near,High School,Low,Yes,5.3,66.1,9,83.4,6.9,Yes,No,Medium,Low
Female,18,Public,Moderate,None,High,Yes,8.1,86.1,11,54.4,6.9,No,No,High,Medium
Male,16,Public,Near,College,Medium,Yes,7.7,67.8,6,82.0,5.9,No,Yes,High,Medium
Male,16,Public,Moderate,High School,High,Yes,6.6,70.9,9,57.6,,No,Yes,High,Medium
Female,16,Public,Near,College,Medium,Yes,5.1,68.2,9,53.9,9.2,No,No,Low,Low
Male,16,Public,Moderate,College,Low,Yes,5.0,78.3,8,76.0,8.4,No,No,Low,Medium
Male,17,Private,Moderate,Postgraduate,Low,No,6.5,94.0,5,86.2,5.3,No,Yes,Low,Medium
Female,18,Public,Near,College,Medium,Yes,4.2,79.9,7,75.3,7.2,Yes,No,High,Medium
Male,15,Public,Near,High School,High,Yes,1.2,74.7,4,68.3,6.9,Yes,Yes,Medium,Medium
Female,18,Public,Far,College,Medium,Yes,6.0,61.7,6,72.7,6.7,No,Yes,Low,Medium
Female,17,Public,Near,Postgraduate,High,No,2.7,86.6,1,70.0,6.5,No,No,Medium,Medium
Female,16,Public,Moderate,High School,High,Yes,3.1,70.6,3,51.1,7.5,Yes,No,Medium,Medium
Male,17,Private,Far,College,High,Yes,5.0,81.4,5,49.4,8.0,Yes,Yes,High,Medium
Male,18,Private,Moderate,High School,Medium,Yes,4.8,75.7,2,66.8,7.5,Yes,No,High,Medium
Female,15,Public,Moderate,None,High,No,2.2,90.1,4,69.2,6.9,Yes,Yes,Medium,Medium
Male,17,Public,Moderate,College,Medium,Yes,5.3,78.1,5,68.2,6.8,Yes,No,Low,Medium
Female,15,Public,Far,Postgraduate,Medium,Yes,6.9,79.3,8,78.1,8.1,Yes,Yes,High,High
Female,17,Private,Moderate,High School,Low,Yes,2.7,85.8,10,64.8,7.6,No,No,Low,Low
Female,15,Public,Moderate,College,Medium,No,7.5,100.0,4,76.4,7.1,No,Yes,Medium,Medium
Male,15,Public,Near,Postgraduate,Low,Yes,1.9,90.7,11,65.8,7.0,No,No,Low,Medium
Male,16,Public,Far,Postgraduate,Medium,Yes,9.2,78.9,10,95.4,7.4,No,No,Low,Medium
Female,15,Public,Moderate,High School,Medium,No,4.2,80.0,8,69.2,6.4,Yes,Yes,Low,Low
Male,16,Public,Near,Postgraduate,Medium,No,5.3,73.7,7,100.0,8.0,Yes,Yes,Medium,Medium
Male,18,Public,Far,High School,High,Yes,1.2,68.6,7,73.3,5.7,Yes,No,Medium,Low
Female,18,Public,Moderate,College,Medium,No,4.9,73.4,11,64.8,6.5,No,Yes,Low,Low
Female,16,Private,Near,None,Medium,Yes,5.5,70.7,11,54.5,7.7,Yes,No,Medium,Medium
Female,16,Public,Moderate,None,Low,Yes,4.8,87.8,11,46.4,5.6,No,No,High,Medium
Female,17,Public,Near,College,High,No,3.9,67.1,6,53.1,5.1,Yes,No,Low,Low
Male,17,Private,Far,High School,Low,Yes,3.1,96.0,8,54.8,7.1,No,No,Low,Low
Female,17,Public,Near,High School,Medium,Yes,7.3,89.0,11,73.9,5.0,Yes,No,Medium,Medium
Female,18,Public,Far,High School,Medium,Yes,5.1,80.2,4,60.1,5.4,No,No,High,Medium
Male,17,Public,Moderate,College,High,Yes,8.1,80.0,5,70.8,7.9,Yes,No,Medium,Medium
Male,15,Public,Near,None,Medium,Yes,3.9,73.3,6,87.2,6.8,Yes,No,High,Medium
Female,15,Private,Far,College,High,Yes,4.1,83.2,10,66.7,8.5,No,Yes,Medium,Medium
Female,17,Public,Moderate,None,Low,No,6.6,93.1,10,99.2,5.6,No,No,Medium,Medium
